id,ts,title,amount_icp,price,usd
9,1706832376,Transfer 15000 ICP to add liquidity to the SNEED/ICP pool on ICPSwap,15000.0,11.668,175020.0
21,1707437033,Transfer 3 ICP to add liquidity to the SNEED/ICP pool on Sonic.ooo,3.0,12.187,36.561
23,1707563508,Transfer 5000 ICP to add liquidity to the SNEED/ICP pool on Sonic.ooo,5000.0,12.675,63375.0
32,1708557574,Transfer 375 ICP to Fund CoinMarketCap Priority Listing.,375.0,13.075,4903.125
40,1709820150,Transfer 800 ICP to Fund Fund CoinTelegraph PR Marketing Collab Invite.,800.0,14.574,11659.2
46,1710491573,Transfer 3 ICP to Yuku for 5 Years of Sneed Diamond Club NFT Canister Maintenence,3.0,13.004,39.012
48,1710712025,Transfer 777.77 ICP to purchase the ICNaming domain icsneed.ic,777.7702,12.626,9820.1265452
49,1710718570,"Transfer 1,555 ICP to purchase the ICNaming domain sneed.ic",1555.0,12.631,19641.205
66,1713159274,Transfer 1000 ICP to Helix Markets,1000.0,12.703,12703.0
75,1716275201,BITCORN LABS requests 164 Icp for word done on Sneed Defi,164.0,13.543,2221.0519999999997
90,1721667019,Compensate Bitcorn labs 164 Icp for partial Sneed lock code,164.0,10.289,1687.396
99,1722802698,Transfer 1000 ICP to the ICPSwap ICP/CLOWN swap Canister,1000.0,7.557,7557.0
107,1723468863,Featured Marketing on AlpacaFi,250.0,7.201,1800.25
108,1723305640,Transfer 1000 ICP to the ICPSwap ICP/CLOWN swap Canister,1000.0,7.299,7299.0
110,1723909361,Transfer 250 ICP to the ICPSwap ICP/CLOWN swap Canister,250.0,7.17,1792.5
112,1724005355,Transfer 1.0001 ICP to the Sneed DeFi Canister,1.0001,7.251,7.2517251
117,1724705429,Transfer 499.0001 ICP to the Sneed DeFi Canister,499.0001,8.155,4069.3458154999994
120,1725179710,Transfer 100 ICP to the Sneed DAO CycleOps Cycle Monitoring Account,100.0,7.436,743.6
160,1731713658,Test transfer of 1 Icp to ok64 to prepare for 500 Icp for prop 159,1.0,8.734,8.734
162,1731568564,Transfer 499 ICP to the Sneed DeFi canister ok64y-uiaaa-aaaag-qdcbq-cai because the sub account for the test proposal was correct. ,499.0,8.461,4222.039
167,1732020607,Transfer 33 ICP to n4235-f5fjz-yeaax-xfbrm-4eoo2-6moqq-yzoya-nnefz-4ky7n-5ajgb-dqe,33.0,9.389,309.837
212,1733478811,"Transfer of 10,000 ICP Tokens to ICP Neuron Vector Source Account",10.0,15.065,150.65
213,1733574978,"Transfer of 5,000 ICP Tokens to ICP Neuron Vector Source Account",5000.0,14.977,74885.0
221,1735492993,"Transfer of 3,490 ICP Tokens to ICP Neuron Vector Source Account",3490.0,10.142,35395.58
227,1736858736,Aquire WELL for Sneed DAO,300.0,9.947,2984.1
232,1737397133,Transfer a further 100 ICP to the Sneed DAO CycleOps Cycle Monitoring Account,100.0,9.744,974.4
238,1739056146,"Transfer of 1,500 ICP Tokens to ICP Neuron Vector Source Account",1500.0,6.974,10461.0
249,1742221371,Increase the stake of the Sneed DAO ICP neuron by 777 ICP,777.0,5.708,4435.116
278,1749257082,Send 100 ICP to CycleOps for topping up Sneed SNS canisters,100.0,4.946,494.59999999999997
283,1750114084,Transfer of 1000 ICP Tokens to Kong exchange vector,1000.0,5.359,5359.0
285,1750341867,Test transfer of 1.1 ICP to NTN Exchange Vector,1.1,5.359,5.894900000000001
289,1751054176,"Automated Treasury Transfer: Threshold below 25 ICP detected, Transfer to Sneed Cycleops account for 100 ICP from SNS Treasury - Bitcorn Labs Automated Service",1.0,5.359,5.359
290,1750726854,"Automated Treasury Transfer: Threshold below 25 ICP detected, Transfer to Sneed Cycleops account for 100 ICP from SNS Treasury - Bitcorn Labs Automated Service",1.0,5.359,5.359
291,1751128147,"Automated Treasury Transfer: Threshold below 25 ICP detected, Transfer to Sneed Cycleops account for 100 ICP from SNS Treasury - Bitcorn Labs Automated Service",1.0,5.359,5.359
292,1751135118,"Automated Treasury Transfer: Threshold below 25 ICP detected, Transfer to Sneed Cycleops account for 100 ICP from SNS Treasury - Bitcorn Labs Automated Service",1.0,5.359,5.359
293,1751170017,Transfer 998.9 ICP to buy NTN via exchange vector 64,998.9,5.359,5353.1051
294,1751333943,"Automated Treasury Transfer: Threshold below 25 ICP detected, Transfer to Sneed Cycleops account for 100 ICP from SNS Treasury - Bitcorn Labs Automated Service",100.0,5.359,535.9
